
 epoch:1, train_loss:1.6872, acc:0.6446, acc_cls:0.0477, mean_iu:0.0309, fwavacc:0.4169
 epoch:1, val_loss:1.5423, acc:0.6360, acc_cls:0.0476, mean_iu:0.0303, fwavacc:0.4045
 epoch:2, train_loss:1.5139, acc:0.6476, acc_cls:0.0495, mean_iu:0.0329, fwavacc:0.4231
 epoch:2, val_loss:1.5696, acc:0.6246, acc_cls:0.0497, mean_iu:0.0319, fwavacc:0.3959
 epoch:3, train_loss:1.4428, acc:0.6403, acc_cls:0.0563, mean_iu:0.0390, fwavacc:0.4227
 epoch:3, val_loss:1.4202, acc:0.6314, acc_cls:0.0483, mean_iu:0.0308, fwavacc:0.3996
 epoch:4, train_loss:1.3833, acc:0.6480, acc_cls:0.0604, mean_iu:0.0429, fwavacc:0.4351
 epoch:4, val_loss:1.4166, acc:0.6273, acc_cls:0.0661, mean_iu:0.0444, fwavacc:0.4098
 epoch:5, train_loss:1.3326, acc:0.6555, acc_cls:0.0762, mean_iu:0.0538, fwavacc:0.4542
 epoch:5, val_loss:1.3198, acc:0.6444, acc_cls:0.0788, mean_iu:0.0527, fwavacc:0.4341
 epoch:6, train_loss:1.2989, acc:0.6636, acc_cls:0.0891, mean_iu:0.0630, fwavacc:0.4668
 epoch:6, val_loss:1.3511, acc:0.6286, acc_cls:0.0960, mean_iu:0.0535, fwavacc:0.4546
 epoch:7, train_loss:1.2587, acc:0.6663, acc_cls:0.0947, mean_iu:0.0666, fwavacc:0.4734
 epoch:7, val_loss:1.2506, acc:0.6623, acc_cls:0.0920, mean_iu:0.0633, fwavacc:0.4576
 epoch:8, train_loss:1.2447, acc:0.6635, acc_cls:0.0950, mean_iu:0.0662, fwavacc:0.4719
 epoch:8, val_loss:1.3397, acc:0.6436, acc_cls:0.0842, mean_iu:0.0523, fwavacc:0.4474
 epoch:9, train_loss:1.2217, acc:0.6689, acc_cls:0.1048, mean_iu:0.0726, fwavacc:0.4805
 epoch:9, val_loss:1.2700, acc:0.6529, acc_cls:0.0934, mean_iu:0.0582, fwavacc:0.4565
 epoch:10, train_loss:1.1821, acc:0.6774, acc_cls:0.1159, mean_iu:0.0821, fwavacc:0.4925
 epoch:10, val_loss:1.1948, acc:0.6638, acc_cls:0.1245, mean_iu:0.0820, fwavacc:0.4766
 epoch:11, train_loss:1.1589, acc:0.6815, acc_cls:0.1305, mean_iu:0.0926, fwavacc:0.5013
 epoch:11, val_loss:1.2190, acc:0.6550, acc_cls:0.1196, mean_iu:0.0805, fwavacc:0.4649
 epoch:12, train_loss:1.1310, acc:0.6872, acc_cls:0.1407, mean_iu:0.1015, fwavacc:0.5101
 epoch:12, val_loss:1.1703, acc:0.6741, acc_cls:0.1318, mean_iu:0.0928, fwavacc:0.4860
 epoch:13, train_loss:1.0928, acc:0.6939, acc_cls:0.1558, mean_iu:0.1120, fwavacc:0.5200
 epoch:13, val_loss:1.3166, acc:0.6393, acc_cls:0.1525, mean_iu:0.0907, fwavacc:0.4823
 epoch:14, train_loss:1.0755, acc:0.6979, acc_cls:0.1660, mean_iu:0.1209, fwavacc:0.5257
 epoch:14, val_loss:1.1849, acc:0.6723, acc_cls:0.1474, mean_iu:0.1078, fwavacc:0.4796
 epoch:15, train_loss:1.0270, acc:0.7098, acc_cls:0.1884, mean_iu:0.1375, fwavacc:0.5429
